crew_id,role,home_depot,qualified_sections,qualified_equipment,availability_start,availability_end,last_sign_off,max_duty_minutes,night_duties_last_7d,fatigue_band,status,crew_lobby,home_station,medical_status,route_learning_valid_until,traction_qualifications,duty_category,duty_location,days_away_from_hq,periodic_rest_hours_this_month,consecutive_night_duties
LP001,loco_pilot,Depot-A,Track-A|Track-B,electric_loco,2026-08-20T08:00:00,2026-08-20T20:00:00,2026-08-19T16:00:00,540,1,low,available,Depot-A-Lobby,Station-A,fit,2026-12-31,electric_loco,running,hq,0,120,1
LP002,loco_pilot,Depot-A,Track-A|Track-C,electric_loco,2026-08-20T12:00:00,2026-08-21T00:00:00,2026-08-20T04:00:00,540,3,medium,available,Depot-A-Lobby,Station-A,fit,2026-12-31,electric_loco,running,hq,0,120,3
LP003,loco_pilot,Depot-B,Track-B|Track-C,diesel_loco,2026-08-20T06:00:00,2026-08-20T18:00:00,2026-08-19T20:00:00,480,5,high,available,Depot-B-Lobby,Station-B,fit,2026-12-31,diesel_loco,running,hq,0,120,5
GD001,guard,Depot-A,Track-A|Track-B,passenger|freight,2026-08-20T08:00:00,2026-08-20T20:00:00,2026-08-19T15:30:00,540,1,low,available,Depot-A-Lobby,Station-A,fit,2026-12-31,,running,hq,0,120,1
GD002,guard,Depot-B,Track-B|Track-C,passenger|freight,2026-08-20T11:00:00,2026-08-20T23:00:00,2026-08-20T03:00:00,540,4,medium,available,Depot-B-Lobby,Station-B,fit,2026-12-31,,running,hq,0,120,4
GD003,guard,Depot-A,Track-A|Track-C,passenger,2026-08-20T07:00:00,2026-08-20T19:00:00,2026-08-19T23:00:00,480,5,high,available,Depot-A-Lobby,Station-A,fit,2026-12-31,,running,hq,0,120,5
TRK001,track,Depot-A,Track-A|Track-C,ultrasonic_trolley|fastener_kit|lubrication_kit,2026-08-20T08:00:00,2026-08-20T22:00:00,2026-08-19T18:00:00,600,0,low,available,Depot-A-Works,Station-A,fit,2026-12-31,,maintenance,hq,0,120,0
TRK002,track,Depot-A,Track-A,fastener_kit|lubrication_kit,2026-08-20T12:00:00,2026-08-20T22:00:00,2026-08-20T06:00:00,600,2,medium,available,Depot-A-Works,Station-A,fit,2026-12-31,,maintenance,hq,0,120,2
INS001,inspection,Depot-A,Track-A|Track-C,ultrasonic_trolley|geometry_car,2026-08-20T08:00:00,2026-08-20T18:00:00,2026-08-19T17:00:00,600,0,low,available,Depot-A-Works,Station-A,fit,2026-12-31,,maintenance,hq,0,120,0
SIG001,signal,Depot-B,Track-B,cable_tester,2026-08-20T12:00:00,2026-08-20T21:00:00,2026-08-19T16:00:00,600,1,low,available,Depot-B-Works,Station-B,fit,2026-12-31,,maintenance,hq,0,120,1
ELE001,electrical,Depot-B,Track-B,boom_lift,2026-08-20T12:00:00,2026-08-20T21:00:00,2026-08-19T21:00:00,600,2,medium,available,Depot-B-Works,Station-B,fit,2026-12-31,,maintenance,hq,0,120,2
